"box","section","x","y","edge_edi","altitude_m","northness","no_trees_75m","pnum","area_polygon","area_polygon_sqrt"
"B117","B",447847.72,207748.76,109.783,92.2343,0.499342354,9,"20031B117",2396.35892558994,48.952619190294
"B117","B",447847.72,207748.76,109.783,92.2343,0.499342354,9,"19761B117",24390.6149612768,156.174949852007
"B117","B",447847.72,207748.76,109.783,92.2343,0.499342354,9,"20151B117",10732.5396270026,103.597971152926
"B117","B",447847.72,207748.76,109.783,92.2343,0.499342354,9,"19971B117",7080.4268674925,84.1452724013209
"B117","B",447847.72,207748.76,109.783,92.2343,0.499342354,9,"19831B117",3710.04905276885,60.9101719975314
"B118","B",447876.72,207747.76,87.073,89.4176,0.447890173,11,"20121B118",5098.23660055827,71.4019369524264
"B118","B",447876.72,207747.76,87.073,89.4176,0.447890173,11,"19771B118",12092.9199808598,109.967813385826
"B118","B",447876.72,207747.76,87.073,89.4176,0.447890173,11,"19681B118",2177.70811356418,46.6659202584089
"B118","B",447876.72,207747.76,87.073,89.4176,0.447890173,11,"20141B118",5692.18817120022,75.4465915147942
"B118","B",447876.72,207747.76,87.073,89.4176,0.447890173,11,"20221B118",5344.15533967037,73.1037299983412
"B118","B",447876.72,207747.76,87.073,89.4176,0.447890173,11,"19991B118",5084.80748233199,71.3078360513905
"B118","B",447876.72,207747.76,87.073,89.4176,0.447890173,11,"19651B118",2177.70811356418,46.6659202584089
"B118","B",447876.72,207747.76,87.073,89.4176,0.447890173,11,"19731B118",11661.3561139826,107.987759093254
"B118","B",447876.72,207747.76,87.073,89.4176,0.447890173,11,"19931B118",2653.25794540532,51.5097849481564
"B119","B",447917.72,207770.76,70.4333,82.556,0.681422469,15,"19881B119",3270.00916088745,57.1839939221409
"B119","B",447917.72,207770.76,70.4333,82.556,0.681422469,15,"19661B119",3423.45500709582,58.5102982994944
"B119","B",447917.72,207770.76,70.4333,82.556,0.681422469,15,"20091B119",5417.0741135031,73.6007752235199
"B119","B",447917.72,207770.76,70.4333,82.556,0.681422469,15,"19721B119",5882.414529467,76.6969003902179
"B119","B",447917.72,207770.76,70.4333,82.556,0.681422469,15,"19711B119",5814.20003762376,76.2509018807237
"B119","B",447917.72,207770.76,70.4333,82.556,0.681422469,15,"20121B119",7614.60646074638,87.2617124559585
"B119","B",447917.72,207770.76,70.4333,82.556,0.681422469,15,"19681B119",3927.66858820058,62.6711144643255
"B119","B",447917.72,207770.76,70.4333,82.556,0.681422469,15,"20181B119",16662.6616717884,129.083932663165
